0,Name,params,params,params,params,params,Acc
0,covertype, 1.000000000000000000e+01,9.000000000000000222e-01,6.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000082e-05,7.278223495702005330e-01
1,elec, 5.000000000000000000e+01,9.000000000000000222e-01,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000021e-03,6.426222222222222058e-01
2,poker, 3.000000000000000000e+01,6.999999999999999556e-01,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000082e-05,6.107163323782235365e-01
3,weather, 1.000000000000000000e+01,9.899999999999999911e-01,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000082e-05,6.757303370786517105e-01
4,gmsc, 1.000000000000000000e+01,9.000000000000000222e-01,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000082e-05,9.213180515759312739e-01
5,moving_squares, 3.000000000000000000e+01,9.899999999999999911e-01,7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,4.439971346704871258e-01
6,mixed_g, 1.000000000000000000e+01,9.899999999999999911e-01,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000082e-05,8.912893982808023363e-01
7,mixed_a, 1.000000000000000000e+01,9.899999999999999911e-01,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000082e-05,8.881948424068767389e-01
8,Hyperplane Generator, 3.000000000000000000e+01,9.000000000000000222e-01,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000082e-05,6.367191977077364395e-01
9,rand_tree, 3.000000000000000000e+01,9.899999999999999911e-01,9.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000082e-05,8.225787965616045971e-01
10,rbf_if, 3.000000000000000000e+01,9.899999999999999911e-01,1.000000000000000000e+01,2.000000000000000000e+00,1.000000000000000082e-05,6.743266475644699165e-01
11,rbf_im, 1.000000000000000000e+01,6.999999999999999556e-01,4.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000048e-04,7.129942693409742072e-01
12,sea_a, 5.000000000000000000e+01,9.899999999999999911e-01,8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000082e-05,8.924498567335243937e-01
13,sea_g, 5.000000000000000000e+01,9.000000000000000222e-01,3.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000082e-05,8.800143266475645154e-01
14,Mixed Generator_Mixed Generator_1000_1, 1.000000000000000000e+01,9.899999999999999911e-01,4.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000021e-03,7.445702005730658879e-01
15,Mixed Generator_Mixed Generator_1000_1000, 3.000000000000000000e+01,9.899999999999999911e-01,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000021e-03,7.445988538681947988e-01
16,SEA Generator_SEA Generator_1000_1, 3.000000000000000000e+01,9.899999999999999911e-01,7.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000082e-05,8.880945558739254952e-01
17,SEA Generator_SEA Generator_1000_1000, 5.000000000000000000e+01,9.899999999999999911e-01,7.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000082e-05,8.827220630372493160e-01
