,0,1,2,3,4,5,6
0,covertype,30.0,0.9,9.0,1.0,0.0001,0.6908626033057851
1,elec,30.0,0.9,7.0,1.0,0.0001,0.6448444444444444
2,gmsc,30.0,0.9,1.0,9.0,0.0001,0.9195916666666668
3,Hyperplane Generator,30.0,0.9,9.0,2.0,0.0001,0.6207551510302061
4,Mixed Generator_Mixed Generator_1000_1,10.0,0.9900000000000002,7.0,2.0,0.01,0.7793998799759951
5,Mixed Generator_Mixed Generator_1000_1000,10.0,0.9900000000000002,9.0,7.0,0.01,0.779008801760352
6,mixed_a,30.0,0.9900000000000002,1.0,9.0,0.0001,0.8929685937187437
7,mixed_g,30.0,0.9900000000000002,1.0,9.0,0.0001,0.8937537507501501
8,moving_squares,30.0,0.9900000000000002,10.0,1.0,0.01,0.5993293293293294
9,poker,30.0,0.7,7.0,8.0,0.001,0.5779396863691194
10,rand_tree,30.0,0.9,5.0,5.0,0.0001,0.8075335067013402
11,rbf_if,30.0,0.9900000000000002,1.0,1.0,0.0001,0.6648439687937587
12,rbf_im,30.0,0.9900000000000002,2.0,1.0,0.0001,0.6796909381876375
13,SEA Generator_SEA Generator_1000_1,30.0,0.9900000000000002,1.0,5.0,0.0001,0.7812452490498099
14,SEA Generator_SEA Generator_1000_1000,30.0,0.9900000000000002,1.0,7.0,0.0001,0.8016623324664933
15,sea_a,30.0,0.9900000000000002,1.0,9.0,0.0001,0.7699179835967194
16,sea_g,30.0,0.9900000000000002,7.0,1.0,0.0001,0.8228015603120625
17,weather,30.0,0.9900000000000002,1.0,7.0,0.0001,0.6703370786516852
