,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
0,2,2,0.769,0.538,0.54,0.538
1,2,4,0.795,0.59,0.563,0.588
2,2,6,0.795,0.588,0.561,0.588
3,2,8,0.796,0.592,0.565,0.592
4,4,2,0.789,0.577,0.546,0.576
5,4,4,0.79,0.575,0.605,0.58
6,4,6,0.791,0.581,0.606,0.581
7,4,8,0.792,0.582,0.609,0.583
8,6,2,0.792,0.581,0.553,0.583
9,6,4,0.795,0.587,0.612,0.589
10,6,6,0.79,0.581,0.553,0.58
11,6,8,0.792,0.581,0.607,0.583
12,8,2,0.79,0.579,0.554,0.58
13,8,4,0.791,0.578,0.606,0.581
14,8,6,0.792,0.582,0.607,0.585
15,8,8,0.792,0.582,0.612,0.584
16,10,2,0.794,0.585,0.614,0.588
17,10,4,0.789,0.579,0.55,0.578
18,10,6,0.792,0.582,0.554,0.585
19,10,8,0.789,0.575,0.549,0.577
20,12,2,0.793,0.586,0.608,0.586
21,12,4,0.797,0.589,0.621,0.594
22,12,6,0.793,0.58,0.554,0.585
23,12,8,0.793,0.585,0.561,0.586
24,14,2,0.791,0.58,0.607,0.582
25,14,4,0.791,0.583,0.554,0.582
26,14,6,0.79,0.574,0.605,0.579
27,14,8,0.791,0.582,0.552,0.581
28,16,2,0.789,0.575,0.606,0.578
29,16,4,0.79,0.577,0.549,0.58
30,16,6,0.792,0.584,0.558,0.585
31,16,8,0.793,0.585,0.556,0.586
32,18,2,0.787,0.572,0.598,0.575
33,18,4,0.79,0.584,0.606,0.581
34,18,6,0.789,0.578,0.55,0.579
35,18,8,0.793,0.582,0.613,0.585
36,20,2,0.793,0.585,0.558,0.586
37,20,4,0.792,0.582,0.61,0.585
38,20,6,0.789,0.576,0.544,0.579
39,20,8,0.792,0.581,0.554,0.583
